A1_1_PEIS,A1_2_FAULT_DISTANCE,A1_3_SEISMIC_SOURCE_TYPE,A1_4_LIQUEFACTION,A2_1_BASIC_WIND_SPEED,A2_2_BUILDING_VICINITY,A3_1_SLOPE,A3_2_ELEVATION,A3_3_DISTANCE_TO_RIVERS_AND_SEAS,A3_4_SURFACE_RUNOFF,A3_5_BASE_HEIGHT,A3_6_DRAINAGE_SYSTEM,B1_1_AESTHETIC_THEME,B1_2_STYLE_UNIQUE,B1_3_STYLE_TYPICAL,B1_4_CITYSCAPE_INTEGRATION,B2_1_AGE_OF_BUILDING,B2_2_PAST_RELEVANCE,B2_3_GEO_IMPACT,B2_4_CULTURAL_HERITAGE_TIE,B2_5_MESSAGE_WORTH_PRESERVING,B3_1_NO_INITIATIVES,B3_2_PROMINENT_SUPPORT,B3_3_IMPORTANCE_DAILY_LIFE,B3_4_NO_PROMOTION,B4_1_TOURIST_MUST_SEE,B4_2_TOURISM_CONTRIBUTION,B4_3_VISITED_FOR_GOODS,B4_4_CURRENT_USE_ADOPTS_NEEDS,C1_1_CODE_YEAR_BUILT,C1_2_PLAN_IRREGULARITY,C1_3_VERTICAL_IRREGULARITY,C1_4_BUILDING_PROXIMITY,C1_5_NUMBER_OF_STOREYS,C1_6_STRUCT_SYSTEM_MATERIAL,C1_7_NUMBER_OF_BAYS,C1_8_COLUMN_SPACING,C1_9_BUILDING_ENCLOSURE,C1_10_WALL_MATERIAL,C1_11_FRAMING_TYPE,C1_12_FLOORING_MATERIAL,C2_1_CRACK_WIDTH,C2_2_UNEVEN_SETTLEMENT,C2_3_BEAM_COLUMN_DEFORMATION,C2_4_FINISHING_DETERIORATION,C2_5_MEMBER_DECAY,C2_6_ADDITIONAL_LOADS,C3_1_ROOF_DESIGN,C3_2_ROOF_SLOPE,C3_3_ROOFING_MATERIAL,C4_1_ROOF_FASTENERS,C4_2_FASTENER_SPACING,HAZARD_RATING,EXPOSURE_RATING,VULNERABILITY_RATING,RISK_RATING,RISK_INDEX,risk
3,1,3,3,1,1,1,3,1,3,1,3,1,3,1,1,3,3,3,1,1,1,1,3,3,3,3,3,3,1,1,3,3,1,2,3,1,1,3,3,1,3,1,3,1,3,1,1,3,1,1,1,2.04,2.090909090909091,1.9215686274509804,8.196363636363637,3.035690235690236,LOW
3,3,3,1,3,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,1,3,1,1,1,2.48,2.9696969696969697,2.450980392156863,18.051099227569818,6.68559230650734,MEDIUM
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,3,1,1,1,3,1,3,1,1,3,1,2,1.0,1.1818181818181819,1.4901960784313726,1.7611408199643495,0.6522743777645739,LOW
1,1,1,3,3,3,1,3,3,1,1,3,1,1,3,1,1,3,3,1,3,3,2,3,1,1,3,1,3,3,1,3,1,3,1,3,2,1,3,3,2,3,3,1,1,1,3,1,1,1,3,1,2.04,2.0,1.9019607843137254,7.76,2.874074074074074,LOW
3,3,3,3,3,3,3,1,3,3,3,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,1,3,3,3,1,1,3,3,2,1,1,3,3,2,1,3,3,3,3,1,2,2.76,2.757575757575758,2.176470588235294,16.564919786096254,6.135155476331946,MEDIUM
1,1,1,1,3,2,1,1,1,1,3,1,3,1,1,1,3,3,1,3,1,3,1,1,3,1,1,1,1,3,3,3,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,3,1,3,1,1,1.32,1.9090909090909092,1.8627450980392157,4.694117647058824,1.7385620915032682,LOW
1,1,1,3,3,1,1,1,3,1,1,1,2,1,1,2,1,3,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,3,1,1,3,2,3,1,1,1,3,1,2,1.64,1.4848484848484849,1.607843137254902,3.91534165181224,1.450126537708237,LOW
2,3,1,1,3,3,3,1,1,1,3,3,1,3,1,1,1,1,3,3,1,3,3,3,3,1,3,1,3,1,3,1,1,3,3,1,3,3,1,3,1,3,1,1,3,3,3,3,3,3,3,1,2.0,2.090909090909091,2.2549019607843137,9.429590017825312,3.4924407473427084,LOW
3,3,1,1,2,3,3,1,3,1,3,3,1,1,3,3,3,3,1,1,3,1,3,3,1,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2.28,2.212121212121212,2.803921568627451,14.141960784313722,5.237763253449526,MEDIUM
1,3,3,1,3,3,1,1,3,3,3,3,1,1,3,1,3,3,3,3,1,1,1,3,1,1,1,1,3,3,3,1,3,3,3,3,3,3,1,1,3,1,3,3,3,3,3,1,1,3,3,1,2.36,1.7878787878787878,2.2941176470588234,9.679786096256683,3.585105961576549,MEDIUM
3,3,1,1,1,3,3,1,3,3,3,3,1,1,3,1,3,1,1,1,3,1,1,3,1,2,1,2,1,3,1,3,3,1,1,1,3,1,3,3,3,3,3,1,1,1,3,3,3,1,3,2,2.28,1.5151515151515151,2.0588235294117645,7.11229946524064,2.634184987126163,LOW
1,2,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1.44,1.1515151515151516,1.2156862745098038,2.0158288770053474,0.7466032877797584,LOW
1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,3,3,1,1,1,2,1.08,1.0909090909090908,1.3333333333333333,1.5709090909090908,0.5818181818181818,LOW
1,1,1,1,3,1,1,1,3,1,3,2,3,3,3,3,1,3,1,1,3,3,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,3,1,1,3,3,1,1,1,1,1,1,3,1,1,1,1.56,1.8484848484848484,1.4509803921568627,4.184099821746881,1.549666600646993,LOW
3,3,3,3,1,3,3,3,3,1,3,1,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.6,2.8484848484848486,2.9607843137254903,21.92774806892454,8.121388173675756,HIGH
1,1,1,3,3,3,3,1,1,3,1,1,3,1,3,3,1,3,3,3,3,3,3,2,3,1,3,3,2,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,1.72,2.5757575757575757,2.156862745098039,9.555555555555554,3.5390946502057608,LOW
3,3,3,2,3,1,3,3,2,3,1,1,2,1,3,3,3,3,1,1,3,3,3,1,3,3,2,3,3,1,3,3,1,3,3,2,3,1,1,3,3,1,1,3,3,1,2,3,2,1,1,3,2.36,2.5454545454545454,2.0784313725490198,12.485704099821747,4.624334851785832,MEDIUM
1,3,3,1,1,1,1,1,1,3,3,3,1,1,1,1,3,1,1,3,1,1,1,2,3,1,3,3,3,1,1,3,1,2,3,1,3,3,3,1,3,1,3,3,3,1,1,1,1,1,1,1,1.8,1.7272727272727273,1.7450980392156863,5.425668449197861,2.009506833036245,LOW
3,3,3,3,2,3,3,3,1,3,3,1,3,1,3,3,1,3,1,3,3,3,1,1,3,3,3,1,1,3,1,3,3,1,3,1,3,3,3,1,3,3,1,1,1,3,3,3,3,3,3,3,2.52,2.272727272727273,2.2941176470588234,13.13903743315508,4.866310160427807,MEDIUM
3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,1,2.84,2.9393939393939394,2.607843137254902,21.769958407605465,8.062947558372395,HIGH
2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,3,1,1,1,1,1,3,3,1,1,3,3,1,1,3,1,1,1.4,1.2121212121212122,1.588235294117647,2.695187165775401,0.9982174688057042,LOW
3,3,1,3,1,1,1,1,3,2,1,3,3,1,1,1,3,1,1,1,3,1,3,1,3,3,3,1,3,3,1,1,3,3,1,1,3,3,3,3,3,1,3,2,1,1,2,3,1,3,3,3,2.16,2.0303030303030303,2.1372549019607843,9.37283422459893,3.471420083184789,LOW
1,1,1,1,3,3,1,3,1,3,3,1,3,3,3,3,1,1,3,1,1,1,1,1,3,1,3,3,1,1,1,3,3,1,1,1,1,3,3,1,3,1,3,1,3,3,1,3,3,1,1,3,1.56,1.7272727272727273,1.9803921568627452,5.336256684491979,1.976391364626659,LOW
3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3,1,1,3,1,3,2,3,3,1,1,1,1,1,3,1,1.64,1.0606060606060606,1.6862745098039216,2.933095662507427,1.0863317268546027,LOW
3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.76,2.727272727272727,2.8823529411764706,21.696256684491978,8.035650623885918,HIGH
1,2,1,3,3,3,3,1,1,1,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,1,3,3,1,3,1,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2.0,2.6363636363636362,2.6470588235294117,13.957219251336898,5.169340463458111,MEDIUM
3,3,1,2,1,3,3,1,3,1,3,3,1,3,3,1,3,1,3,1,3,3,1,1,3,3,3,1,1,3,1,3,1,3,1,1,3,3,1,1,1,1,1,3,1,3,1,1,3,1,3,1,2.32,1.9696969696969697,1.8627450980392157,8.512180629827688,3.152659492528773,LOW
1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,1,3,3,1,1,3,3,1,2,3,3,3,2.68,2.4545454545454546,2.4705882352941178,16.25197860962567,6.019251336898397,MEDIUM
3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,1,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,1,1,3,2,3,1,3,3,1,1,1,3,1,2.92,2.5757575757575757,2.156862745098039,16.22222222222222,6.008230452674896,MEDIUM
1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,1,1,1,1,3,3,1,3,1,1,3,1,1,1,3,1,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,1,1.64,1.6666666666666667,1.7058823529411764,4.662745098039216,1.7269426289034135,LOW
1,3,1,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,1,3,1,3,3,3,3,1,2,3,3,2.36,2.515151515151515,2.4901960784313726,14.781200237670825,5.47451860654475,MEDIUM
3,1,3,3,3,3,3,1,3,3,3,1,3,3,3,3,1,3,3,1,3,3,3,1,1,3,3,3,3,3,3,1,1,1,3,1,1,3,1,1,3,3,3,3,1,3,3,3,3,3,3,3,2.52,2.4545454545454546,2.2941176470588234,14.190160427807486,5.255614973262031,MEDIUM
1,1,1,1,1,3,1,1,1,2,1,3,3,1,3,1,1,1,1,3,3,3,1,3,1,1,1,3,3,1,2,3,3,2,3,3,3,1,3,1,3,1,1,1,1,1,1,1,1,3,3,3,1.36,1.9090909090909092,1.803921568627451,4.6836363636363645,1.734680134680135,LOW
1,1,2,1,1,1,1,1,1,3,3,1,2,1,1,1,3,3,3,3,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,3,1,3,1,2,1,3,3,1,2,1.28,1.8484848484848484,1.607843137254902,3.80425430778372,1.4089830769569334,LOW
3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,1,3,1,3,1,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,2.8,2.484848484848485,2.784313725490196,19.372073677956028,7.174842102946677,HIGH
3,1,1,1,3,3,1,1,3,1,1,1,1,1,1,1,1,3,1,1,3,1,3,1,3,1,1,1,1,1,3,3,1,3,3,3,3,3,1,3,3,1,1,1,3,1,3,3,3,1,3,3,1.8,1.6666666666666667,2.2941176470588234,6.88235294117647,2.549019607843137,LOW
1,1,1,1,1,1,1,3,1,3,1,1,3,3,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,3,3,2,1,1,3,2,1,1,1,1.16,1.3333333333333333,1.6274509803921569,2.5171241830065356,0.9322682159283466,LOW
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,1,3,3,1,3,1,2,3,3,3,1,1,1,3,3,3,2,1,3,1,1,1,3,3,2.96,2.696969696969697,2.0588235294117645,16.435650623885916,6.087278008846636,MEDIUM
3,1,3,3,3,3,1,3,3,3,1,3,3,3,2,3,3,1,3,3,1,2,3,1,3,3,3,3,3,3,2,3,3,3,3,3,1,3,1,3,2,3,1,3,3,3,3,3,3,1,3,1,2.6,2.4545454545454546,2.5686274509803924,16.39251336898396,6.071301247771837,MEDIUM
3,1,3,2,1,3,1,3,3,1,3,3,3,3,3,3,3,3,1,1,3,1,1,1,3,1,3,3,3,1,3,3,3,3,1,3,1,3,3,1,3,1,3,3,1,1,3,1,3,3,3,1,2.32,2.212121212121212,2.176470588235294,11.169910873440282,4.1370040272001045,MEDIUM
3,3,1,2,3,3,3,3,1,2,1,3,3,3,1,1,3,1,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,1,1,1,3,3,1,3,2,3,3,1,3,3,1,3,3,3,3,2.28,2.4545454545454546,2.411764705882353,13.497112299465238,4.998930481283422,MEDIUM
3,3,1,1,3,3,3,3,3,3,3,3,1,1,3,2,1,3,1,3,3,3,3,3,3,1,3,3,2,3,3,3,3,1,3,1,1,1,1,1,3,1,1,3,1,3,3,2,3,1,1,3,2.52,2.393939393939394,1.9607843137254901,11.828877005347595,4.381065557536147,MEDIUM
1,3,3,3,3,3,3,1,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,2,2,3,3,3,3,3,1,3,3,3,2.68,2.787878787878788,2.6666666666666665,19.924040404040404,7.379274223718668,HIGH
3,3,2,1,1,1,1,1,3,3,3,1,3,1,1,1,1,1,3,3,3,1,3,3,1,3,3,3,1,3,1,1,1,3,1,1,1,3,3,3,1,1,3,1,3,3,2,3,3,1,2,1,2.0,1.9696969696969697,2.1176470588235294,8.342245989304812,3.0897207367795603,LOW
1,1,1,1,3,3,1,3,3,3,3,3,3,2,3,1,1,3,1,1,1,1,3,3,1,1,1,1,3,3,2,2,3,3,2,2,1,3,1,1,3,3,1,1,1,3,1,3,3,3,3,1,1.96,1.8181818181818181,2.156862745098039,7.686274509803921,2.8467683369644154,LOW
1,1,2,1,2,1,1,3,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1.28,1.0909090909090908,1.1568627450980393,1.6154010695187166,0.5982966924143395,LOW
3,1,3,1,1,1,3,3,1,3,3,1,1,3,3,1,3,1,3,3,3,1,1,1,1,3,1,1,1,1,1,3,3,1,3,3,1,3,1,1,1,1,3,3,3,2,2,3,1,1,2,1,1.8,1.6666666666666667,1.9019607843137254,5.705882352941176,2.1132897603485836,LOW
1,3,3,1,3,3,3,1,1,3,3,3,3,1,3,1,3,1,1,3,3,2,1,1,3,1,1,1,1,2,1,3,3,3,3,1,3,3,2,3,3,3,3,1,1,3,1,3,3,1,3,3,2.2,1.8181818181818181,2.2941176470588234,9.176470588235293,3.398692810457516,LOW
3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,3,3,1,1,3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3.0,2.0303030303030303,2.843137254901961,17.31729055258467,6.4138113157721,MEDIUM
3,3,1,3,1,3,1,1,1,1,1,3,1,3,1,3,3,1,3,3,3,1,1,3,1,3,1,3,1,1,3,3,3,3,1,1,1,1,1,3,1,1,1,1,1,3,1,3,3,3,3,1,2.04,1.9090909090909092,1.9411764705882353,7.5600000000000005,2.8000000000000003,LOW
1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1.48,1.1818181818181819,1.3529411764705883,2.3664171122994655,0.8764507823331353,LOW
1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,3,3,3,3,3,1,2,1,3,1,3,3,3,1,3,3,3,3,1,1,1,3,1,1.28,1.303030303030303,2.3137254901960786,3.85901366607249,1.429264320767589,LOW
3,2,3,3,1,1,3,3,3,3,3,2,2,3,1,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,1,3,3,3,3,1,2,3,3,3,2.48,2.515151515151515,2.627450980392157,16.388924539512775,6.069972051671399,MEDIUM
1,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.44,2.9393939393939394,2.9607843137254903,21.235103980986334,7.864853326291234,HIGH
3,3,3,3,3,3,3,1,1,3,3,1,3,1,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.52,2.757575757575758,2.764705882352941,19.212192513368986,7.1156268568033285,HIGH
3,3,3,2,3,3,3,3,1,3,3,3,3,3,1,1,1,1,3,1,3,1,1,3,2,3,3,3,3,1,3,3,3,1,3,2,1,3,1,2,1,3,1,3,1,3,1,3,1,1,1,1,2.64,1.9393939393939394,1.9411764705882353,9.938823529411765,3.681045751633987,MEDIUM
1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1.56,1.0303030303030303,1.1372549019607843,1.8278787878787877,0.6769921436588102,LOW
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,1,3,3,3,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,1,1,1,3,3,1,2,3,3,3,3,3.0,2.393939393939394,2.588235294117647,18.58823529411765,6.8845315904139435,HIGH
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,1,3,2,3,3.0,2.878787878787879,2.607843137254902,22.5222816399287,8.341585792566185,HIGH
1,1,1,3,2,3,1,3,1,1,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1.64,1.303030303030303,1.411764705882353,3.016898395721925,1.1173697761933055,LOW
1,3,1,3,1,3,3,1,1,3,3,3,3,3,3,3,3,3,1,3,1,1,3,2,1,1,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,2.04,2.1515151515151514,2.7058823529411766,11.876363636363637,4.398653198653199,MEDIUM
1,3,3,1,1,1,3,3,1,1,3,3,3,1,3,3,1,1,1,3,1,3,3,2,3,1,3,1,3,3,3,3,1,3,2,3,1,1,2,1,3,3,3,1,3,1,1,3,1,1,1,1,1.88,2.212121212121212,1.9803921568627452,8.236030897207367,3.0503818137805068,LOW
3,3,3,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,1,3,2,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.64,2.5757575757575757,2.9607843137254903,20.133333333333333,7.45679012345679,HIGH
3,3,2,3,1,3,2,3,3,3,1,1,3,3,1,3,1,3,3,1,1,1,1,3,3,3,3,3,3,3,1,3,3,1,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,1,3,1,2.44,2.212121212121212,2.4901960784313726,13.441021984551394,4.97815629057459,MEDIUM
3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,1,1,3,3,3,3,2.92,2.909090909090909,2.6470588235294117,22.485561497326202,8.327985739750446,HIGH
3,1,2,3,1,3,1,1,1,3,3,1,1,1,1,3,1,1,1,3,1,3,1,1,3,1,3,1,3,2,2,1,1,3,1,1,3,1,1,2,1,1,1,1,3,1,1,3,1,3,1,1,1.92,1.7878787878787878,1.607843137254902,5.519286987522282,2.044180365748993,LOW
3,2,3,1,1,3,1,1,3,1,1,1,1,1,3,3,2,3,1,3,1,1,3,3,1,2,1,1,1,1,1,1,1,1,3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2.0,1.9090909090909092,1.2352941176470589,4.716577540106952,1.7468805704099821,LOW
1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1.16,1.0303030303030303,1.2745098039215685,1.523232323232323,0.5641601197156753,LOW
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3.0,2.909090909090909,2.6666666666666665,23.27272727272727,8.619528619528618,HIGH
3,3,3,3,3,1,3,1,1,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2.44,2.727272727272727,2.764705882352941,18.397860962566845,6.814022578728461,HIGH
1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.36,1.1515151515151516,1.0196078431372548,1.596767676767677,0.5913954358398804,LOW
